epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.458,1.52306,2.24462,1.28846,0.50606,0.66554,0.5529,0.31293,1.44253,2.11444,1.22286,0.00053344,0.00053344,0.00053344
2,470.44,1.44847,1.98825,1.23856,0.57377,0.65237,0.6036,0.3569,1.40817,1.89043,1.20239,0.000976279,0.000976279,0.000976279
3,695.302,1.4454,1.84187,1.214,0.66355,0.6547,0.67019,0.38386,1.41308,1.73181,1.20069,0.0013102,0.0013102,0.0013102
4,918.204,1.38407,1.70149,1.18506,0.4288,0.63168,0.51197,0.29076,1.41368,2.11796,1.23152,0.0011719,0.0011719,0.0011719
5,1140.1,1.38672,1.52336,1.18357,0.46437,0.70652,0.64965,0.36701,1.39594,1.66518,1.1721,0.00100687,0.00100687,0.00100687
6,1364.1,1.35708,1.43588,1.17609,0.62197,0.77251,0.75503,0.43637,1.38692,1.5123,1.16629,0.000841835,0.000841835,0.000841835
7,1584.56,1.3407,1.33444,1.15651,0.76355,0.69683,0.75585,0.45458,1.36839,1.28828,1.14864,0.000676802,0.000676802,0.000676802
8,1806.22,1.31567,1.23886,1.14663,0.73509,0.7111,0.76005,0.43402,1.40275,1.28167,1.14977,0.000511769,0.000511769,0.000511769
9,2025.41,1.3272,1.20815,1.13233,0.74582,0.70719,0.77619,0.46644,1.34828,1.25415,1.14276,0.000346736,0.000346736,0.000346736
10,2243.96,1.27016,1.16824,1.12415,0.75907,0.69395,0.76949,0.46279,1.35247,1.19363,1.13561,0.000181703,0.000181703,0.000181703
