epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6654,1.51523,2.73269,1.22111,0.00501,0.80739,0.17076,0.07689,1.27946,3.27555,1.15246,0.000543844,0.000543844,0.000543844
2,67.7031,1.43211,1.72619,1.17191,0.63479,0.38641,0.51925,0.30167,1.3438,2.19786,1.16065,0.00106323,0.00106323,0.00106323
3,99.0278,1.42171,1.56184,1.18304,0.61746,0.54065,0.52629,0.29392,1.46812,1.84591,1.28704,0.00154594,0.00154594,0.00154594
4,130.826,1.41196,1.47228,1.177,0.65389,0.68778,0.69246,0.39464,1.40994,1.38775,1.22584,0.00150197,0.00150197,0.00150197
5,161.339,1.38949,1.34216,1.17525,0.71989,0.77981,0.7826,0.43356,1.42326,1.13949,1.21791,0.00144696,0.00144696,0.00144696
6,192.779,1.35381,1.23769,1.15093,0.66304,0.70196,0.71322,0.42733,1.31083,1.21832,1.14285,0.00139195,0.00139195,0.00139195
7,223.079,1.35563,1.2147,1.15919,0.71566,0.7472,0.76748,0.44826,1.37655,1.02616,1.16986,0.00133693,0.00133693,0.00133693
8,253.579,1.36285,1.15431,1.15165,0.7547,0.77824,0.83203,0.52042,1.25316,0.95948,1.11937,0.00128192,0.00128192,0.00128192
9,284.709,1.33089,1.08953,1.14902,0.76182,0.82368,0.82198,0.51482,1.24654,0.85655,1.12459,0.00122691,0.00122691,0.00122691
10,314.809,1.3142,1.0421,1.13726,0.77512,0.76566,0.82906,0.48681,1.34043,0.91915,1.16576,0.0011719,0.0011719,0.0011719
11,345.4,1.31604,1.02888,1.14601,0.80927,0.80441,0.86424,0.53628,1.26747,0.85007,1.12934,0.00111689,0.00111689,0.00111689
12,376.889,1.29118,0.9754,1.12662,0.73074,0.76689,0.79218,0.49563,1.24813,0.98371,1.12191,0.00106188,0.00106188,0.00106188
13,407.266,1.28872,0.93911,1.11537,0.818,0.84069,0.87975,0.55703,1.21174,0.75733,1.10287,0.00100687,0.00100687,0.00100687
14,437.459,1.27481,0.94112,1.11614,0.79434,0.85599,0.87574,0.55662,1.22573,0.77868,1.1075,0.000951857,0.000951857,0.000951857
15,469.394,1.26201,0.89187,1.10853,0.83192,0.87346,0.90771,0.57412,1.2488,0.71098,1.10919,0.000896846,0.000896846,0.000896846
16,500.042,1.2593,0.8838,1.09703,0.82469,0.88262,0.9101,0.60055,1.17054,0.68952,1.07098,0.000841835,0.000841835,0.000841835
17,530.083,1.26117,0.87,1.11093,0.82246,0.87315,0.90419,0.57995,1.17349,0.7202,1.08745,0.000786824,0.000786824,0.000786824
18,561.522,1.21614,0.85019,1.08517,0.83624,0.86535,0.91545,0.61158,1.13451,0.67856,1.06879,0.000731813,0.000731813,0.000731813
19,591.533,1.20034,0.83526,1.08642,0.85265,0.87698,0.92339,0.60742,1.14633,0.66971,1.0675,0.000676802,0.000676802,0.000676802
20,621.192,1.21802,0.80115,1.09123,0.8482,0.89726,0.93041,0.61406,1.14654,0.66596,1.06692,0.000621791,0.000621791,0.000621791
21,653.785,1.19107,0.76236,1.10164,0.84224,0.86503,0.91623,0.59908,1.14275,0.69939,1.06391,0.00056678,0.00056678,0.00056678
22,683.296,1.17888,0.71816,1.08376,0.86883,0.9002,0.93634,0.62619,1.11816,0.63118,1.05949,0.000511769,0.000511769,0.000511769
23,712.482,1.17108,0.71746,1.07365,0.87151,0.90451,0.94286,0.62409,1.13369,0.61146,1.06492,0.000456758,0.000456758,0.000456758
24,742.988,1.15446,0.68758,1.07618,0.87545,0.91012,0.94722,0.63484,1.15004,0.59057,1.06209,0.000401747,0.000401747,0.000401747
25,771.751,1.1447,0.6782,1.07431,0.88718,0.91359,0.95108,0.64241,1.08132,0.56884,1.03714,0.000346736,0.000346736,0.000346736
26,800.959,1.12182,0.65784,1.05304,0.91253,0.89441,0.95137,0.66959,1.03985,0.55216,1.02056,0.000291725,0.000291725,0.000291725
27,830.534,1.10951,0.64552,1.05518,0.87963,0.93529,0.95817,0.66549,1.05177,0.54196,1.02259,0.000236714,0.000236714,0.000236714
28,861.198,1.09406,0.62269,1.05063,0.89466,0.92134,0.95934,0.67545,1.0439,0.53244,1.02454,0.000181703,0.000181703,0.000181703
29,890.134,1.08454,0.61311,1.04369,0.92206,0.91355,0.96433,0.68318,1.02102,0.52064,1.01726,0.000126692,0.000126692,0.000126692
30,920.119,1.07431,0.60733,1.0504,0.92322,0.91519,0.96642,0.68053,1.03966,0.51245,1.02043,7.1681e-05,7.1681e-05,7.1681e-05
